repo	timestamp	count_clones	uniques_clones	count_views	uniques_views
ottrproject/metricminer	2024-04-29	1	1	1	1
ottrproject/metricminer	2024-05-03	1	1	NA	NA
ottrproject/metricminer	2024-05-05	1	1	6	1
ottrproject/metricminer	2024-05-06	1	1	NA	NA
ottrproject/metricminer	2024-05-07	1	1	NA	NA
ottrproject/metricminer	2024-05-11	1	1	1	1
ottrproject/metricminer	2024-04-30	NA	NA	1	1
ottrproject/metricminer	2024-05-01	NA	NA	1	1
ottrproject/metricminer	2024-05-02	NA	NA	1	1
ottrproject/metricminer	2024-05-10	NA	NA	1	1
ottrproject/metricminer-dashboard	2024-04-29	1	1	1	1
ottrproject/metricminer-dashboard	2024-05-03	1	1	NA	NA
ottrproject/metricminer-dashboard	2024-05-05	16	9	3	1
ottrproject/metricminer-dashboard	2024-05-06	1	1	NA	NA
ottrproject/metricminer-dashboard	2024-05-07	2	1	NA	NA
ottrproject/metricminer-dashboard	2024-05-11	1	1	NA	NA
ottrproject/metricminer-dashboard	2024-05-09	NA	NA	2	1
ottrproject/OTTR_Template	2024-04-29	1	1	NA	NA
ottrproject/OTTR_Template	2024-04-30	1	1	35	2
ottrproject/OTTR_Template	2024-05-01	8	2	3	3
ottrproject/OTTR_Template	2024-05-02	14	7	12	4
ottrproject/OTTR_Template	2024-05-04	4	2	3	3
ottrproject/OTTR_Template	2024-05-05	1	1	1	1
ottrproject/OTTR_Template	2024-05-06	1	1	33	5
ottrproject/OTTR_Template	2024-05-07	1	1	4	3
ottrproject/OTTR_Template	2024-05-09	1	1	9	3
ottrproject/OTTR_Template	2024-05-10	1	1	NA	NA
ottrproject/OTTR_Template	2024-04-28	NA	NA	2	2
ottrproject/OTTR_Template	2024-05-08	NA	NA	53	4
ottrproject/OTTR_Template	2024-05-11	NA	NA	2	2
ottrproject/OTTR_Template_Website	2024-05-06	1	1	2	2
ottrproject/OTTR_Template_Website	2024-04-29	NA	NA	1	1
ottrproject/OTTR_Template_Website	2024-05-01	NA	NA	1	1
ottrproject/OTTR_Template_Website	2024-05-07	NA	NA	11	2
ottrproject/metricminer	2025-02-02	2	2	NA	NA
ottrproject/metricminer	2025-02-07	1	1	8	2
ottrproject/metricminer	2025-02-08	1	1	NA	NA
ottrproject/metricminer	2025-02-11	14	10	19	2
ottrproject/metricminer	2025-02-12	67	15	35	1
ottrproject/metricminer	2025-02-13	1	1	7	1
ottrproject/metricminer	2025-02-14	6	4	2	2
ottrproject/metricminer	2025-02-04	NA	NA	1	1
ottrproject/metricminer	2025-02-05	NA	NA	1	1
ottrproject/metricminer	2025-02-06	NA	NA	14	2
ottrproject/metricminer	2025-02-09	NA	NA	1	1
ottrproject/metricminer-dashboard	2025-02-08	1	1	NA	NA
ottrproject/metricminer-dashboard	2025-02-09	1	1	1	1
ottrproject/metricminer-dashboard	2025-02-12	18	9	35	3
ottrproject/metricminer-dashboard	2025-02-15	1	1	NA	NA
ottrproject/metricminer-dashboard	2025-02-05	NA	NA	1	1
ottrproject/metricminer-dashboard	2025-02-10	NA	NA	1	1
ottrproject/metricminer-dashboard	2025-02-13	NA	NA	2	1
ottrproject/metricminer-dashboard	2025-02-14	NA	NA	1	1
ottrproject/OTTR_Template	2025-02-02	1	1	NA	NA
ottrproject/OTTR_Template	2025-02-03	1	1	11	3
ottrproject/OTTR_Template	2025-02-04	1	1	33	3
ottrproject/OTTR_Template	2025-02-05	16	3	39	1
ottrproject/OTTR_Template	2025-02-06	2	2	27	5
ottrproject/OTTR_Template	2025-02-08	1	1	NA	NA
ottrproject/OTTR_Template	2025-02-10	1	1	2	2
ottrproject/OTTR_Template	2025-02-12	1	1	NA	NA
ottrproject/OTTR_Template	2025-02-13	4	2	5	2
ottrproject/OTTR_Template	2025-02-15	2	2	NA	NA
ottrproject/OTTR_Template	2025-02-07	NA	NA	12	3
ottrproject/OTTR_Template	2025-02-09	NA	NA	1	1
ottrproject/OTTR_Template	2025-02-11	NA	NA	3	1
ottrproject/OTTR_Template	2025-02-14	NA	NA	12	2
ottrproject/OTTR_Template_Website	2025-02-03	1	1	NA	NA
ottrproject/OTTR_Template_Website	2025-02-05	1	1	NA	NA
ottrproject/OTTR_Template_Website	2025-02-11	1	1	NA	NA
ottrproject/OTTR_Template_Website	NA	NA	NA	0	0
ottrproject/metricminer	2025-02-18	44	20	27	2
ottrproject/metricminer	2025-02-19	23	6	12	3
